wavelength_nm,usgs_aspen_green_reflectance,usgs_dry_grass_reflectance,usgs_sand_reflectance,usgs_seawater_reflectance,chemla_bchl_a_yf10_absorbance,chemla_smurfp_biliverdin_ecoli_absorbance,chemla_smurfp_biliverdin_pputida_absorbance
633.0,0.0684198248,0.216512769,0.251205056,0.0208639759,-0.0278856912,0.700545368,0.715501152
634.0,0.068334922,0.21707988,0.25139722,0.0208522346,-0.0289359269,0.70409477,0.717686818
635.0,0.0682515034,0.217641406,0.251590792,0.0208431195,-0.0297258603,0.707315861,0.72003796
636.0,0.068092161,0.218195401,0.251767104,0.0208347296,-0.0304849001,0.710344346,0.722370987
637.0,0.067794158,0.218739829,0.251957536,0.0208280317,-0.0315474465,0.712787801,0.724273241
638.0,0.0673551384,0.219277135,0.252144428,0.0208228329,-0.0324181048,0.714765857,0.725438441
639.0,0.066787422,0.21980958,0.25231054,0.0208211324,-0.0331029187,0.716293173,0.725889801
640.0,0.0661141359,0.220339825,0.252498122,0.0208177585,-0.0335617695,0.717009791,0.726387123
641.0,0.0654005797,0.220867176,0.252665435,0.0208104801,-0.0339749017,0.717448187,0.726864048
642.0,0.0647228196,0.2213913,0.252819447,0.0208026115,-0.0343448421,0.717387204,0.727260189
643.0,0.0641340079,0.221911615,0.252999718,0.0207933657,-0.034547951,0.716860506,0.726337579
644.0,0.0635973906,0.222428805,0.253144921,0.0207863639,-0.0346483735,0.716047157,0.724603265
645.0,0.0630537082,0.22294466,0.253290983,0.0207845999,-0.0344857907,0.714165685,0.722559047
646.0,0.0624656336,0.223459895,0.253459865,0.0207806306,-0.034531406,0.711695515,0.719686735
647.0,0.0618844648,0.223975685,0.253609839,0.0207715147,-0.0349518744,0.708197949,0.71534782
648.0,0.06138359,0.224492,0.25375712,0.0207611413,-0.0349215729,0.70390039,0.710163742
649.0,0.0610153243,0.225009865,0.253920442,0.0207478327,-0.0347519397,0.699246775,0.704439244
650.0,0.0607469226,0.22552891,0.254109413,0.0207358897,-0.034816021,0.694050257,0.696695043
651.0,0.0605244644,0.2260487,0.254277227,0.0207271341,-0.0347554507,0.688167966,0.688491385
652.0,0.0603022222,0.226569365,0.254440638,0.0207175157,-0.0345554397,0.68151854,0.679773756
653.0,0.060066376,0.22708929,0.25460628,0.0207058839,-0.0341819356,0.673043914,0.669370334
654.0,0.0598112255,0.22760674,0.254764384,0.0206922693,-0.0337705334,0.663998388,0.658354073
655.0,0.0595357336,0.228120935,0.254941615,0.0206740271,-0.0333384893,0.654099444,0.646233507
656.0,0.0592569276,0.22863128,0.255122776,0.0206601785,-0.0324224237,0.643170741,0.632697592
657.0,0.0589964116,0.229137985,0.255288178,0.020656583,-0.0311615755,0.631508512,0.618153482
658.0,0.0587679309,0.229640595,0.255444022,0.0206532044,-0.0309487337,0.617462134,0.602615857
659.0,0.0585538255,0.2301391,0.255601173,0.0206503319,-0.0304882361,0.60271179,0.586237558
